"fullname","domainname","applicationid","isdisabled"
"# Power Policy Prod","PowerPolicyProd@onmicrosoft.com","c81c4f54-f70c-49e3-a01d-0a44ed684c5a","Enabled"
"# PowerPlatformDataAnalytics","PowerPlatformDataAnalytics@onmicrosoft.com","7dcff627-a295-4553-9229-b1f3513f82a8","Enabled"
"# KISPAdminProd","KISPAdminProd@onmicrosoft.com","965f757f-1a14-47b9-8b2d-4258de0eee16","Enabled"
"# KISPIngProd","KISPIngProd@onmicrosoft.com","808a016e-7cdd-4f5d-8961-c2d69cb444bb","Enabled"
"# KISPSyncProd","KISPSyncProd@onmicrosoft.com","dc0f4699-2205-4718-be44-6ade1ccd505b","Enabled"
"# Agent 365 Tools","Agent365Tools@onmicrosoft.com","ea9ffc3e-8a23-4a7d-836d-234d7c7565c1","Enabled"
"# D365OfficeDataSvc","D365OfficeDataSvc@onmicrosoft.com","08ad9b35-1979-40a6-a6f2-289cf7289374","Enabled"
"# PurviewApp","PurviewApp@onmicrosoft.com","2d446674-08a2-46f8-9024-a5b078a57c48","Enabled"
"# TPSProxyService","TPSProxyService@onmicrosoft.com","2b61b865-d0bd-4c60-9efa-6fa934eefaac","Enabled"
"# Dynamics365Athena2","Dynamics365Athena2@onmicrosoft.com","7f15f9d9-cad0-44f1-bbba-d36650e07765","Enabled"
"# PowerQueryOnline","PowerQueryOnline@onmicrosoft.com","f3b07414-6bf4-46e6-b63f-56941f3f4128","Enabled"
"# EnterpriseSales","EnterpriseSales@onmicrosoft.com","b20d0d3a-dc90-485b-ad11-6031e769e221","Enabled"
"# DataLakeStorage","DataLakeStorage@onmicrosoft.com","546068c3-99b1-4890-8e93-c8aeadcfe56a","Enabled"
"# AriaMdlExporter","AriaMdlExporter@onmicrosoft.com","3bd99f43-a70c-49da-9378-6e15c2dee59d","Enabled"
"# ProductInsights","ProductInsights@onmicrosoft.com","ffa7d2fe-fc04-4599-9f6d-7ca06dd0c4fd","Enabled"
"# Dynamics365SCV","Dynamics365SCV@onmicrosoft.com","d6037e40-282c-493d-8f63-f255e36c6ef4","Enabled"
"# JobsServiceProd","JobsServiceProd@onmicrosoft.com","e548fb5c-c385-41a6-a31d-6dbc2f0ca8a3","Enabled"
"# Flow-CDSNativeConnector","Flow-CDSNativeConnector@onmicrosoft.com","3e7d837d-b5c3-42b7-96c0-39a1c5b36595","Enabled"
"# Flow-CDSNativeConnectorPreview","Flow-CDSNativeConnectorPreview@onmicrosoft.com","6e163c41-83b6-40e2-a66f-ae3001494d6a","Enabled"
"# Flow-CDSNativeConnectorUS","Flow-CDSNativeConnectorUS@onmicrosoft.com","66adb445-d114-4905-9f2c-ddb926a0a7c8","Enabled"
"# Flow-CDSNativeConnectorEurope","Flow-CDSNativeConnectorEurope@onmicrosoft.com","9d816c2d-5388-4e18-85cc-754a6e051604","Enabled"
"# Flow-CDSNativeConnectorAsia","Flow-CDSNativeConnectorAsia@onmicrosoft.com","7f243e3b-906a-4a32-b946-10670ab1f75a","Enabled"
"# Flow-CDSNativeConnectorAustralia","Flow-CDSNativeConnectorAustralia@onmicrosoft.com","bb9b626b-82f3-4c8b-8402-6bf7cdd162e0","Enabled"
"# Flow-CDSNativeConnectorIndia","Flow-CDSNativeConnectorIndia@onmicrosoft.com","65086433-a120-4658-93ff-2a3709b490e0","Enabled"
"# Flow-CDSNativeConnectorJapan","Flow-CDSNativeConnectorJapan@onmicrosoft.com","6903d455-735f-4680-a37d-b99e4ec0effa","Enabled"
"# Flow-CDSNativeConnectorCanada","Flow-CDSNativeConnectorCanada@onmicrosoft.com","2a1f2ae8-b674-4b1d-97ee-50d25bc03d84","Enabled"
"# Flow-CDSNativeConnectorUK","Flow-CDSNativeConnectorUK@onmicrosoft.com","06957b3e-4fcc-4ac0-ad7a-3b6e5a8e36e9","Enabled"
"# Flow-CDSNativeConnectorBrazil","Flow-CDSNativeConnectorBrazil@onmicrosoft.com","d9c3cbe8-48a4-4ce4-b9ba-09dcf5f6aa1c","Enabled"
"# Flow-CDSNativeConnectorFrance","Flow-CDSNativeConnectorFrance@onmicrosoft.com","3cfbbaf9-d5b2-4ddb-b212-2c888fc84b11","Enabled"
"# Flow-CDSNativeConnectorUAE","Flow-CDSNativeConnectorUAE@onmicrosoft.com","87aa1d02-457f-4980-a89e-b7534dc5a5bb","Enabled"
"# Flow-CDSNativeConnectorGermany","Flow-CDSNativeConnectorGermany@onmicrosoft.com","c6a9976b-9beb-43b8-9aea-52a55ba8e39b","Enabled"
"# Flow-CDSNativeConnectorSwitzerland","Flow-CDSNativeConnectorSwitzerland@onmicrosoft.com","cbb61646-e3d4-4310-9a93-a4a6ce81ac01","Enabled"
"# Flow-CDSNativeConnectorKorea","Flow-CDSNativeConnectorKorea@onmicrosoft.com","766c30f5-2c1f-423c-b651-6c63567a0466","Enabled"
"# Flow-CDSNativeConnectorNorway","Flow-CDSNativeConnectorNorway@onmicrosoft.com","19343905-f69a-4694-b591-4e03ba8dd43b","Enabled"
"# Flow-CDSNativeConnectorSouthAfrica","Flow-CDSNativeConnectorSouthAfrica@onmicrosoft.com","099ce982-5f59-4f19-8ac0-1fd296e39f14","Enabled"
"# Flow-CDSNativeConnectorSingapore","Flow-CDSNativeConnectorSingapore@onmicrosoft.com","25e45960-83d2-44bb-bbc7-6df1715d4810","Enabled"
"# Flow-CDSNativeConnectorSweden","Flow-CDSNativeConnectorSweden@onmicrosoft.com","b1868054-83fb-49be-afe9-a723d1c6d3f0","Enabled"
"# Flow-CDSNativeConnectorItaly","Flow-CDSNativeConnectorItaly@onmicrosoft.com","7288f221-7593-439a-b683-c0dee2ff9438","Enabled"
"# Flow-CDSNativeConnectorPoland","Flow-CDSNativeConnectorPoland@onmicrosoft.com","922af705-a0f3-440a-8483-5ad51f0272c4","Enabled"
"# CDSFileStorage","CDSFileStorage@onmicrosoft.com","07ce06e6-4ae9-4466-bca4-2984fa04d057","Enabled"
"# CCADataAnalyticsML","CCADataAnalyticsML@onmicrosoft.com","8840ddc6-aa78-428a-b02c-b64c19f43e86","Enabled"
"# SharePointOnline","SharePointOnline@onmicrosoft.com","00000003-0000-0ff1-ce00-000000000000","Enabled"
"# DataverseReportService","DataverseReportService@onmicrosoft.com","a97cd606-1ee8-4f11-a6e3-1130171f9403","Enabled"
"# Contextual AI S2S Prod Application","ContextualAIS2SProdApplication@onmicrosoft.com","1a28d27c-cc86-4773-b5ef-10a70a3da179","Enabled"
"# CDSReportService-NAM","CDSReportService-NAM@onmicrosoft.com","4ff9e282-7ac7-42f8-b48b-a99a415897b7","Enabled"
"# CDSReportService-APJ","CDSReportService-APJ@onmicrosoft.com","fc3595c0-7e9e-49a3-9e42-dba7cb49874f","Enabled"
"# CDSReportService-CAN","CDSReportService-CAN@onmicrosoft.com","830ad5e7-9d40-4a34-80e6-86d250c6d3de","Enabled"
"# CDSReportService-CHE","CDSReportService-CHE@onmicrosoft.com","b07f1bd3-d0df-4399-a37f-9cbca7667f1c","Enabled"
"# CDSReportService-EMEA","CDSReportService-EMEA@onmicrosoft.com","bbc6bd9b-90e6-4e0a-8655-de0d8ff55ac5","Enabled"
"# CDSReportService-FRA","CDSReportService-FRA@onmicrosoft.com","b6f57e5e-5889-46b0-b214-d94067c31cf7","Enabled"
"# CDSReportService-GBR","CDSReportService-GBR@onmicrosoft.com","84cc28bd-d7ad-4631-9c3c-144e12a242ee","Enabled"
"# CDSReportService-GER","CDSReportService-GER@onmicrosoft.com","2f6478e9-1793-48cb-afe1-0c2e6ca7dff0","Enabled"
"# CDSReportService-IND","CDSReportService-IND@onmicrosoft.com","3713c6b4-6a96-4b21-9af5-aeb07cf9bc1c","Enabled"
"# CDSReportService-JPN","CDSReportService-JPN@onmicrosoft.com","6b3be972-4d64-497f-b58d-2de904334482","Enabled"
"# CDSReportService-KOR","CDSReportService-KOR@onmicrosoft.com","51d0f3cc-2ffa-4e7b-a152-ad169e1f7f74","Enabled"
"# CDSReportService-NOR","CDSReportService-NOR@onmicrosoft.com","5b0ca8c6-322f-4b08-a4b3-3e1a985957ca","Enabled"
"# CDSReportService-OCE","CDSReportService-OCE@onmicrosoft.com","46c33425-7d07-4ac4-8892-d38b88afbd34","Enabled"
"# CDSReportService-SAM","CDSReportService-SAM@onmicrosoft.com","d884866a-a28a-4c20-8f77-e5847b7dd00a","Enabled"
"# CDSReportService-UAE","CDSReportService-UAE@onmicrosoft.com","49dbc5b7-3473-42e3-bcc9-8b801ac48f16","Enabled"
"# CDSReportService-ZAF","CDSReportService-ZAF@onmicrosoft.com","0a4b6ee5-e28b-4e32-b6db-51425f49901f","Enabled"
"# CDSReportService-SWE","CDSReportService-SWE@onmicrosoft.com","cf996560-fa0c-4eb3-9643-712471068b48","Enabled"
"# CDSReportService-SGP","CDSReportService-SGP@onmicrosoft.com","2c44fdb6-b856-4859-a4f9-fb5544a87648","Enabled"
"# CDSUserManagement","CDSUserManagement@onmicrosoft.com","c92229fa-e4e7-47fc-81a8-01386459c021","Enabled"
"# CDSUserManagementApi","CDSUserManagementApi@onmicrosoft.com","7b9e7d05-a719-471f-9e41-5387557bd84b","Enabled"
"# CDSGlobalDiscovery","CDSGlobalDiscovery@onmicrosoft.com","6eb29b24-9d89-4f26-bf2f-9a84ed2499b8","Enabled"
"# PowerPlatformAuthorization","PowerPlatformAuthorization@onmicrosoft.com","8d605dfc-1a04-4da6-9be2-8426724af3f3","Enabled"
"# DAMS","DAMS@onmicrosoft.com","84e37c07-7362-4d9f-b4b1-09be02be0195","Enabled"
"# DAMSIsland","DAMSIsland@onmicrosoft.com","5293b54e-dc85-45d3-a067-2102f619174f","Enabled"
"# BAP","BAP@onmicrosoft.com","978b42f5-e03a-4695-b8df-454959d032c8","Enabled"
"# PowerPlatformEnvironmentManagement","PowerPlatformEnvironmentManagement@onmicrosoft.com","d1a7a85b-e8f5-4f95-8335-92e4c439fafc","Enabled"
"# Omnichannel","Omnichannel@onmicrosoft.com","d9ce8cfa-8bd8-4ff1-b39b-5e5dd5742935","Enabled"
"# Flow-RP","Flow-RP@onmicrosoft.com","730d33da-0894-409f-a907-c577151719c5","Enabled"
"# CloudFlowRunHistory","CloudFlowRunHistory@onmicrosoft.com","e19b049c-3802-4ef1-881b-13bb47db0cb4","Enabled"
"# RelevanceSearch","RelevanceSearch@onmicrosoft.com","1884bdbf-452a-4a11-9c76-afdbdb1b3768","Enabled"
"# MicrosoftDynamicsNRDService","MicrosoftDynamicsNRDService@onmicrosoft.com","4ade18ba-d41e-45d6-a563-97c67fc0be15","Enabled"
"# DataServices","DataServices@onmicrosoft.com","fbfc635b-88c9-40c7-8f58-a64cc69c8c8f","Enabled"
"# Deflection","Deflection@onmicrosoft.com","c5eab488-a722-4b91-98d7-b3f3f2fca099","Enabled"
"# DataSyncFramework-NAM","DataSyncFramework-NAM@onmicrosoft.com","7a575ec8-8d12-42eb-9edc-b93f3aa92c48","Enabled"
"# DataSyncFramework-EMEA-FRA-GBR-GER","DataSyncFramework-EMEA-FRA-GBR-GER@onmicrosoft.com","9357c0fc-7ead-4bc5-9657-a3136481d220","Enabled"
"# DataSyncFramework-APJ","DataSyncFramework-APJ@onmicrosoft.com","a4cc9e72-f218-4f77-b329-4b7f68ecc625","Enabled"
"# DataSyncFramework-SAM","DataSyncFramework-SAM@onmicrosoft.com","65b3a33d-a83d-4867-9eee-8de1ed5f4afe","Enabled"
"# DataSyncFramework-JPN","DataSyncFramework-JPN@onmicrosoft.com","3adc5a17-683e-427b-be42-c53854d16cea","Enabled"
"# DataSyncFramework-OCE","DataSyncFramework-OCE@onmicrosoft.com","7c7fb27f-9d49-4b02-995d-3337bbe02c97","Enabled"
"# DataSyncFramework-CAN","DataSyncFramework-CAN@onmicrosoft.com","78f6a875-fef6-49ed-a504-b38bcfb510b4","Enabled"
"# DataSyncFramework-IND-UAE-ZAF","DataSyncFramework-IND-UAE-ZAF@onmicrosoft.com","c3357a20-2a2b-4453-9c36-bde9504fedcb","Enabled"
"# DataSyncFramework-CHE","DataSyncFramework-CHE@onmicrosoft.com","16a2f0d9-0bea-4cbd-b847-d16cd6e75f5b","Enabled"
"# DataSyncFramework-NOR","DataSyncFramework-NOR@onmicrosoft.com","f2851b16-ed8b-4d67-a521-c0031a53623a","Enabled"
"# DataSyncFramework-KOR","DataSyncFramework-KOR@onmicrosoft.com","428e1d8d-5724-44ff-a6ea-2e03021ba87d","Enabled"
"# DataSyncService-NAM","DataSyncService-NAM@onmicrosoft.com","d4121b85-e1a0-4606-91c0-9f3ad0513296","Enabled"
"# DataSyncService-EMEA-FRA-GBR-GER","DataSyncService-EMEA-FRA-GBR-GER@onmicrosoft.com","b509b65b-fced-4fca-ab6b-d4802a571f7e","Enabled"
"# DataSyncService-APJ","DataSyncService-APJ@onmicrosoft.com","babc3507-b8d0-4675-82bf-48503fe799cc","Enabled"
"# DataSyncService-SAM","DataSyncService-SAM@onmicrosoft.com","71702cdd-7db9-4393-9112-66d67bbaad81","Enabled"
"# DataSyncService-JPN","DataSyncService-JPN@onmicrosoft.com","bcf29efb-c7be-4be9-8d6a-bf584b04ae11","Enabled"
"# DataSyncService-OCE","DataSyncService-OCE@onmicrosoft.com","0923d34c-9090-4013-a1e6-bdc0b40297ea","Enabled"
"# DataSyncService-CAN","DataSyncService-CAN@onmicrosoft.com","998ee914-eed7-42c2-b235-99056a1e8cd9","Enabled"
"# DataSyncService-IND-UAE-ZAF","DataSyncService-IND-UAE-ZAF@onmicrosoft.com","e6e54007-8ccf-4333-8702-339919243c9c","Enabled"
"# DataSyncService-CHE","DataSyncService-CHE@onmicrosoft.com","06dd99d8-4bb3-4be2-bd41-ea7d90bbb66f","Enabled"
"# DataSyncService-NOR","DataSyncService-NOR@onmicrosoft.com","4bac8391-0d93-4131-8103-6a816726a4f1","Enabled"
"# DataSyncService-KOR","DataSyncService-KOR@onmicrosoft.com","ab0fd681-e577-45e6-a68f-3c4d948a5ae2","Enabled"
"# GlobalActiveMetricsMonitoringAlerting","GlobalActiveMetricsMonitoringAlerting@onmicrosoft.com","539cea1d-ee00-437f-8189-421e05581f9e","Enabled"
"# InsightsAppsPlatform","InsightsAppsPlatform@onmicrosoft.com","99ff962b-6252-4b98-8478-0c65a3ea1925","Enabled"
"# AppDeploymentOrchestration","AppDeploymentOrchestration@onmicrosoft.com","886d9650-b672-4531-b16f-4617b5492d2f","Enabled"
"# PowerAppsCustomerManagementPlaneBackend","PowerAppsCustomerManagementPlaneBackend@onmicrosoft.com","3570e63c-5acf-4f3f-9f15-a49faa5120d3","Enabled"
"# PowerAppsDataPlaneBackend","PowerAppsDataPlaneBackend@onmicrosoft.com","b6fb6bd6-f0fb-4a60-beb1-4e50afd0eaa9","Enabled"
"# ConnectorManagementServiceBackend","ConnectorManagementServiceBackend@onmicrosoft.com","59534ab2-0027-4a45-b9ec-61d1b6b871c9","Enabled"
"# CDSAcisInfraAppGlobal","CDSAcisInfraAppGlobal@onmicrosoft.com","36ce0b96-1fb8-475d-a90e-e5e16909a22f","Enabled"
"# MicrosoftCustomerEngagementPortalInfra","MicrosoftCustomerEngagementPortalInfra@onmicrosoft.com","30d3b129-0b19-4da1-957d-b4b75098695a","Enabled"
"# Quartzite","Quartzite@onmicrosoft.com","7d403f55-17ed-4218-869b-0a14fc08cf62","Enabled"
"# DynamicsInstaller","DynamicsInstaller@onmicrosoft.com","5bdbebb2-509f-458e-b56e-d0b934dfdafa","Enabled"
"# ProjectForTheWebBackgroundServices","ProjectForTheWebBackgroundServices@onmicrosoft.com","e62ee429-f250-4aef-a588-7b511fa9a67a","Enabled"
"# SSSAdminProd","SSSAdminProd@onmicrosoft.com","bf05f9a3-4755-4682-b2b4-c3d46fe2f12a","Enabled"
"# Dataverse Information Protection","DataverseInformationProtection@onmicrosoft.com","3196dfc3-4211-4632-b214-6eb482ebc1d6","Enabled"
"# ApolloProdFirstParty","ApolloProdFirstParty@onmicrosoft.com","8c04f0eb-27fc-44cc-9e48-914b9202890a","Enabled"
"# KnowledgeQuality","KnowledgeQuality@onmicrosoft.com","c99209fa-3f1e-41e7-a509-192430e9ae2a","Enabled"
"# PowerPlatformCopilotGovernance","PowerPlatformCopilotGovernance@onmicrosoft.com","9c797c40-1fdd-40d9-9389-bbc3891a5bf8","Enabled"
"# EventStreamsService","EventStreamsService@onmicrosoft.com","0a294109-6daf-4f27-8482-9ff84bd2ee9e","Enabled"
"# PowerCards-S2S-IL-Prod","PowerCards-S2S-IL-Prod@onmicrosoft.com","25c0ac13-af11-43d3-ac26-9758831eb238","Enabled"
"# PowerAutomate-ProcessMining","PowerAutomate-ProcessMining@onmicrosoft.com","dad3c6de-ed58-42ef-989f-9c0303aaeedc","Enabled"
"Power Apps Checker Application","pacheckerapp@microsoft.com","c9299480-c13a-49db-a7ae-cdfe54fe0313","Enabled"
"# PowerBIApplicationUser","PowerBIApplicationUser@onmicrosoft.com","00000009-0000-0000-c000-000000000000","Enabled"
"# BizQA","BizQA@onmicrosoft.com","aeb01831-b358-4750-92ce-722e4f3ea7e8","Enabled"
"# PowerPages Data Runtime PROD","PowerPagesDataRuntimePROD@onmicrosoft.com","f61b1d65-0f1b-4ec8-8721-cfeca7c30416","Enabled"
"# CatalogServiceNam","CatalogServiceNam@onmicrosoft.com","2787672d-a8be-4b05-8d90-11bd6043c7f7","Enabled"
"Support User","crmoln@microsoft.com",,"Enabled"
"Delegated Admin","crmoln2@microsoft.com",,"Enabled"
"# Pegasus-NAM","Pegasus-NAM@onmicrosoft.com","044cab92-64ee-4ca0-9102-255df6c95096","Disabled"
"# Source Control Integration Prod App","SourceControlIntegrationProdApp@onmicrosoft.com","b95e6836-cb65-4476-a40e-4c95309530d9","Enabled"
"Alan Steiner","alans@CRM855352.OnMicrosoft.com",,"Enabled"
"Alicia Thomber","aliciat@CRM855352.OnMicrosoft.com",,"Enabled"
"Allie Bellew","allieb@CRM855352.OnMicrosoft.com",,"Enabled"
"Amy Alberts","amya@CRM855352.OnMicrosoft.com",,"Enabled"
"Anne Weiler","annew@CRM855352.OnMicrosoft.com",,"Enabled"
"Carlos Grilo","carlosg@CRM855352.OnMicrosoft.com",,"Enabled"
"Christa Geller","christag@CRM855352.OnMicrosoft.com",,"Enabled"
"Dan Jump","danj@CRM855352.OnMicrosoft.com",,"Enabled"
"David So","davids@CRM855352.OnMicrosoft.com",,"Enabled"
"Diane Prescott","dianep@CRM855352.OnMicrosoft.com",,"Enabled"
"Eric Gruber","ericg@CRM855352.OnMicrosoft.com",,"Enabled"
"Greg Winston","gregw@CRM855352.OnMicrosoft.com",,"Enabled"
"Jamie Reding","jamier@CRM855352.OnMicrosoft.com",,"Enabled"
"Jeff Hay","jeffh@CRM855352.OnMicrosoft.com",,"Enabled"
"Julian Isla","juliani@CRM855352.OnMicrosoft.com",,"Enabled"
"Karen Berg","karenb@CRM855352.OnMicrosoft.com",,"Enabled"
"Kelly Krout","kellyk@CRM855352.OnMicrosoft.com",,"Enabled"
"Molly Clark","mollyc@CRM855352.OnMicrosoft.com",,"Enabled"
"Renee Lo","reneel@CRM855352.OnMicrosoft.com",,"Enabled"
"Sanjay Shah","sanjays@CRM855352.OnMicrosoft.com",,"Enabled"
"Spencer Low","spencerl@CRM855352.OnMicrosoft.com",,"Enabled"
"Sven Mortensen","svenm@CRM855352.OnMicrosoft.com",,"Enabled"
"Veronica Quek","veronicaq@CRM855352.OnMicrosoft.com",,"Enabled"
"William Contoso","williamc@CRM855352.OnMicrosoft.com",,"Enabled"
"SYSTEM","",,"Disabled"
"INTEGRATION","",,"Disabled"
